,symbol,date,open,high,low,close,volume
0,SBIN,20240801,877.8,881.4,861.1,862.65,763468
1,SBIN,20240802,856.7,858.0,846.7,847.85,697269
2,SBIN,20240805,830.0,831.3,801.0,811.65,733974
3,SBIN,20240806,822.65,826.35,796.05,797.7,741625
4,SBIN,20240807,809.0,810.45,800.6,808.65,827939
5,SBIN,20240808,812.0,817.8,802.85,808.05,779840
6,SBIN,20240809,816.0,829.9,809.85,824.3,708305
7,SBIN,20240812,820.6,823.0,811.3,812.6,948539
8,SBIN,20240813,813.5,819.35,795.15,797.55,752432
9,SBIN,20240814,800.95,809.1,800.65,803.0,578986
10,SBIN,20240816,803.0,814.9,803.0,812.1,671413
11,SBIN,20240819,815.0,825.35,812.65,813.7,712658
12,SBIN,20240820,817.95,822.95,813.35,820.3,743965
13,SBIN,20240821,820.3,821.0,811.2,815.55,974480
14,SBIN,20240822,819.0,823.9,817.1,820.3,539449
15,SBIN,20240823,821.5,821.6,814.55,815.35,458260
16,SBIN,20240826,818.0,823.35,814.4,815.05,687819
17,SBIN,20240827,817.8,819.4,811.15,815.9,973689
18,SBIN,20240828,814.75,817.2,806.5,809.4,596121
19,SBIN,20240829,809.55,816.0,807.4,814.5,948447
20,SBIN,20240830,817.15,820.7,814.35,815.6,498288
21,SBIN,20240902,817.3,825.3,813.05,822.15,609856
22,SBIN,20240903,822.15,825.9,816.5,824.8,639978
23,SBIN,20240904,815.45,818.55,813.65,816.5,655039
24,SBIN,20240905,818.35,822.1,814.65,818.75,632257
25,SBIN,20240906,811.5,812.9,777.25,782.5,845360
26,SBIN,20240909,785.0,787.95,771.0,784.25,751489
27,SBIN,20240910,788.0,788.7,777.6,782.65,741591
28,SBIN,20240911,780.05,788.0,765.4,768.6,763056
29,SBIN,20240912,775.0,789.85,772.75,787.75,784184
30,SBIN,20240913,791.0,795.0,785.2,790.85,721998
31,SBIN,20240916,790.85,795.0,784.45,785.55,646765
32,SBIN,20240917,785.6,787.5,780.55,782.9,653642
33,SBIN,20240918,783.8,794.65,782.6,792.75,1060230
34,SBIN,20240919,795.05,801.25,784.25,789.95,688267
35,SBIN,20240920,794.85,794.85,779.6,781.7,1016966
36,SBIN,20240923,786.0,805.0,785.0,801.85,796481
37,SBIN,20240924,799.25,804.2,796.5,798.25,868780
38,SBIN,20240925,797.9,798.0,788.9,793.1,913842
39,SBIN,20240926,796.0,803.0,791.65,801.85,1115918
40,SBIN,20240927,801.85,807.95,798.5,802.65,818023
41,SBIN,20240930,801.9,802.5,786.65,787.9,662377
42,SBIN,20241001,788.0,799.9,788.0,796.95,717432
43,SBIN,20241003,789.9,804.0,784.3,794.1,818490
44,SBIN,20241004,792.0,809.7,785.45,796.65,1072059
45,SBIN,20241007,800.0,804.0,765.5,770.65,837180
46,SBIN,20241008,772.25,784.4,772.25,781.45,483403
47,SBIN,20241009,786.7,804.25,783.75,797.4,952645
48,SBIN,20241010,799.0,804.4,795.0,797.1,830151
49,SBIN,20241011,797.2,802.65,793.0,799.75,573753
50,SBIN,20241014,802.0,809.2,800.8,805.15,618241
51,SBIN,20241015,805.5,807.5,801.6,804.65,466018
52,SBIN,20241016,802.8,809.0,802.8,805.45,538854
53,SBIN,20241017,809.5,819.5,807.0,811.05,1184056
54,SBIN,20241018,811.1,822.5,802.95,820.4,711729
55,SBIN,20241021,824.7,826.35,809.0,813.95,672477
56,SBIN,20241022,814.0,816.45,787.5,790.4,889634
