,symbol,date,open,high,low,close,volume
0,TCS,20240801,4399.4,4419.15,4365.1,4397.1,183226
1,TCS,20240802,4365.0,4397.35,4270.0,4283.05,247580
2,TCS,20240805,4239.0,4239.0,4110.5,4155.05,235572
3,TCS,20240806,4170.95,4257.25,4160.8,4171.2,205040
4,TCS,20240807,4228.0,4244.8,4181.0,4200.45,147824
5,TCS,20240808,4181.0,4231.7,4160.35,4172.55,216503
6,TCS,20240809,4217.0,4251.55,4211.85,4228.75,195463
7,TCS,20240812,4230.0,4237.0,4188.5,4195.65,124107
8,TCS,20240813,4213.0,4234.0,4183.55,4196.95,132409
9,TCS,20240814,4209.0,4304.2,4188.9,4295.25,236676
10,TCS,20240816,4350.0,4427.0,4331.35,4416.05,244764
11,TCS,20240819,4421.0,4493.2,4390.65,4490.0,207500
12,TCS,20240820,4505.0,4565.0,4500.0,4523.3,200090
13,TCS,20240821,4518.0,4558.25,4500.05,4551.5,165991
14,TCS,20240822,4560.0,4560.0,4497.25,4502.0,192124
15,TCS,20240823,4500.0,4502.0,4455.0,4463.9,236873
16,TCS,20240826,4489.0,4552.15,4489.0,4502.45,183836
17,TCS,20240827,4505.0,4510.0,4486.8,4497.15,129795
18,TCS,20240828,4498.75,4562.35,4457.3,4506.05,205136
19,TCS,20240829,4460.0,4555.5,4460.0,4511.8,191471
20,TCS,20240830,4500.0,4582.6,4487.8,4553.75,248417
21,TCS,20240902,4576.0,4587.95,4515.0,4521.05,150378
22,TCS,20240903,4521.05,4555.35,4496.0,4512.35,196726
23,TCS,20240904,4476.95,4487.0,4437.85,4479.25,127725
24,TCS,20240905,4481.0,4499.0,4454.35,4475.95,193986
25,TCS,20240906,4473.95,4518.5,4440.0,4456.75,162581
26,TCS,20240909,4455.0,4490.0,4430.8,4449.55,137057
27,TCS,20240910,4442.45,4539.95,4441.0,4507.85,147406
28,TCS,20240911,4521.45,4549.35,4471.45,4479.35,135090
29,TCS,20240912,4510.25,4532.55,4431.5,4517.7,246466
30,TCS,20240913,4530.0,4546.95,4505.0,4522.6,199216
31,TCS,20240916,4527.0,4544.3,4494.45,4513.25,121731
32,TCS,20240917,4513.25,4535.8,4467.65,4505.65,153844
33,TCS,20240918,4497.05,4497.05,4321.0,4346.15,192890
34,TCS,20240919,4390.05,4422.05,4282.1,4296.15,225009
35,TCS,20240920,4316.9,4327.8,4229.0,4284.9,281558
36,TCS,20240923,4300.0,4304.55,4253.2,4268.5,144893
37,TCS,20240924,4251.65,4290.0,4242.4,4271.3,339846
38,TCS,20240925,4252.35,4289.55,4240.0,4274.75,279468
39,TCS,20240926,4260.0,4316.8,4260.0,4292.5,329538
40,TCS,20240927,4335.0,4378.0,4300.05,4308.7,183840
41,TCS,20240930,4286.9,4296.65,4260.05,4268.5,172887
42,TCS,20241001,4255.55,4295.75,4243.15,4287.9,179955
43,TCS,20241003,4262.6,4277.0,4210.0,4232.75,253592
44,TCS,20241004,4225.0,4298.0,4225.0,4252.25,229355
45,TCS,20241007,4273.9,4297.2,4229.65,4272.85,126226
46,TCS,20241008,4272.6,4279.35,4204.2,4253.25,147926
47,TCS,20241009,4260.0,4295.0,4246.7,4252.95,121840
48,TCS,20241010,4253.25,4293.85,4201.0,4227.4,228721
49,TCS,20241011,4143.0,4240.0,4112.5,4149.2,297068
50,TCS,20241014,4140.0,4165.4,4122.2,4136.65,248773
51,TCS,20241015,4131.05,4169.75,4095.0,4116.8,222508
52,TCS,20241016,4085.0,4115.0,4067.75,4094.95,170961
53,TCS,20241017,4112.8,4129.95,4093.0,4109.0,235744
54,TCS,20241018,4090.0,4146.0,4081.0,4123.05,210705
55,TCS,20241021,4132.6,4137.95,4070.0,4079.85,184215
56,TCS,20241022,4066.0,4089.8,4006.4,4015.5,187129
57,TCS,20241023,3999.6,4113.55,3999.6,4066.25,194697
58,TCS,20241024,4004.0,4079.0,4004.0,4047.9,200180
